Date,HomeTeam,AwayTeam,MatchInfo,TotalScore,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
05.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",128/5 (20),8 runs,7 runs,9 runs,2 runs,2 runs,2 runs,2 runs,7 runs,3 runs,2 runs,4 runs,5 runs,4 runs,2 runs,5 runs,2 runs,3 runs,2 runs,2 runs,3 runs
05.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",119/10 (20),8 runs,7 runs,9 runs,2 runs,2 runs,2 runs,2 runs,7 runs,3 runs,2 runs,4 runs,5 runs,4 runs,2 runs,5 runs,2 runs,3 runs,2 runs,2 runs,3 runs
05.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",124/4 (20),11 runs,5 runs,0 runs,9 runs,10 runs,5 runs,6 runs,3 runs,4 runs,7 runs,2 runs,5 runs,6 runs,4 runs,5 runs,6 runs,7 runs,13 runs,9 runs,11 runs
03.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",141/6 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
03.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",137/5 (20),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
03.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",174/4 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
03.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",110/9 (20),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
03.09.2021 00:00,Namibia,Titans,,174/7 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
03.09.2021 00:00,Namibia,Titans,,113/10 (17.2),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
02.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",178/2 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
02.09.2021 02:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Bready Cricket Club Ground (Magheramason)",138/10 (18.2),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
02.09.2021 00:00,Namibia,Titans,,150/8 (20),3 runs,3 runs,9 runs,6 runs,6 runs,9 runs,6 runs,5 runs,6 runs,7 runs,12 runs,11 runs,3 runs,6 runs,11 runs,4 runs,3 runs,7 runs,13 runs,11 runs
02.09.2021 00:00,Namibia,Titans,,175/7 (20),4 runs,6 runs,8 runs,1 run,8 runs,1 run,9 runs,7 runs,6 runs,7 runs,4 runs,10 runs,3 runs,11 runs,3 runs,6 runs,11 runs,9 runs,8 runs,15 runs
01.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",62/3 (15),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
01.09.2021 22:00,Bangladesh,New Zealand,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",60/10 (16.5),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
01.09.2021 00:00,Namibia,Titans,,153/4 (20),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
01.09.2021 00:00,Namibia,Titans,,152/9 (20),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
29.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",153/3 (18.3),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
29.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",152/5 (20),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
27.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",114/9 (20),2 runs,4 runs,2 runs,1 run,1 run,8 runs,5 runs,6 runs,7 runs,4 runs,4 runs,2 runs,3 runs,3 runs,3 runs,3 runs,2 runs,,,
27.08.2021 23:00,Ireland,Zimbabwe,"Referee: Gallagher K. (Irl), Venue: Castle Avenue (Dublin)",117/7 (20),1 run,3 runs,3 runs,4 runs,1 run,10 runs,3 runs,3 runs,5 runs,4 runs,2 runs,4 runs,3 runs,9 runs,7 runs,,,,,
10.08.2021 00:00,Bangladesh,Australia,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",122/8 (20),3 runs,3 runs,8 runs,5 runs,9 runs,3 runs,6 runs,3 runs,9 runs,2 runs,3 runs,0 runs,4 runs,4 runs,,,,,,
10.08.2021 00:00,Bangladesh,Australia,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",62/10 (13.4),8 runs,11 runs,14 runs,2 runs,8 runs,3 runs,3 runs,7 runs,1 run,3 runs,5 runs,10 runs,7 runs,9 runs,11 runs,3 runs,1 run,4 runs,4 runs,8 runs
08.08.2021 00:00,Bangladesh,Australia,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",104/9 (20),2 runs,10 runs,10 runs,4 runs,3 runs,1 run,7 runs,2 runs,4 runs,5 runs,3 runs,5 runs,4 runs,8 runs,2 runs,9 runs,3 runs,3 runs,5 runs,14 runs
